lin_accel_x,gyro_y,mag_z,lin_accel_y,lin_accel_z,mag_x,gyro_z,gyro_x,accel_x,mag_y,accel_y,accel_z,long,lat,time,heading
0.06,0.01,44.0625,0.0,0.1,-59.875,0.006666666666666667,-0.01,-0.26,-14.375,-2.05,9.69,-122.67542499999999,45.55033166666667,379.65028796800004,78.32868040503368
0.08,0.0011111111111111113,42.0625,-0.03,0.09,-59.0625,0.013333333333333334,-0.011111111111111113,-0.25,-15.5625,-2.03,9.69,-122.67542499999999,45.55033166666667,379.70360966699997,80.87460164346976
0.09,-0.0033333333333333327,42.0625,0.02,0.09,-59.5,0.007777777777777778,0.0022222222222222227,-0.24,-14.75,-2.07,9.67,-122.67542499999999,45.55033166666667,379.77021037199995,84.00892204998266
0.04,0.005555555555555557,41.6875,-0.02,0.1,-59.0625,0.0011111111111111113,-0.0022222222222222227,-0.24,-14.375,-2.03,9.69,-122.67542499999999,45.55033166666667,379.82195368099997,86.42372008691638
0.06,-0.0033333333333333327,41.6875,-0.02,0.14,-60.1875,0.0022222222222222227,0.0022222222222222227,-0.27,-14.375,-2.06,9.68,-122.67542499999999,45.55033166666667,379.87676679199996,88.92696089425658
0.05,-0.0022222222222222227,42.0625,-0.01,0.14,-59.0625,-0.0011111111111111113,-0.0033333333333333327,-0.26,-15.1875,-2.04,9.7,-122.67542499999999,45.55033166666667,379.938625605,91.61290332922857
0.07,-0.006666666666666667,41.6875,0.0,0.11,-60.1875,0.004444444444444445,0.004444444444444445,-0.27,-14.75,-2.05,9.71,-122.67542499999999,45.55033166666667,379.990324174,93.85094747167628
0.09,0.0011111111111111113,43.25,-0.05,0.13,-58.375,0.0033333333333333327,-0.0033333333333333327,-0.24,-15.1875,-2.05,9.71,-122.67542499999999,45.55033166666667,380.043757696,96.04062649218585
0.02,-0.005555555555555557,42.5,0.0,0.07,-58.6875,0.0,0.006666666666666667,-0.23,-14.375,-2.09,9.72,-122.67542499999999,45.55033166666667,380.110656058,98.75960675776619
0.11,-0.013333333333333334,42.0625,0.02,0.11,-59.0625,0.0011111111111111113,0.012222222222222223,-0.27,-14.375,-2.04,9.64,-122.67542499999999,45.55033166666667,380.170295749,101.14336927485479
0.05,0.014444444444444444,42.5,-0.02,0.03,-59.5,-0.007777777777777778,-0.0011111111111111113,-0.21,-14.75,-2.02,9.71,-122.67542499999999,45.55033166666667,380.21698450800005,102.96253261829096
0.09,-0.006666666666666667,42.5,0.0,0.12,-59.0625,-0.004444444444444445,0.0033333333333333327,-0.26,-14.375,-2.04,9.63,-122.67542499999999,45.55033166666667,380.259616794,104.58970976245112
0.07,0.004444444444444445,40.875,-0.01,0.09,-59.875,-0.0033333333333333327,-0.006666666666666667,-0.27,-14.75,-2.03,9.69,-122.67542499999999,45.55033166666667,380.363298099,108.3665293133156
0.08,-0.0011111111111111113,42.0625,-0.03,0.06,-59.0625,0.004444444444444445,-0.0033333333333333327,-0.23,-14.375,-2.0,9.67,-122.67542499999999,45.55033166666667,380.42255659,110.4609653944774
0.09,-0.0022222222222222227,41.25,-0.01,0.07,-59.0625,0.006666666666666667,0.0011111111111111113,-0.23,-14.375,-2.03,9.67,-122.67542499999999,45.55033166666667,380.49207402300004,112.82439770940832
0.06,0.006666666666666667,41.6875,0.0,0.11,-59.5,-0.004444444444444445,-0.004444444444444445,-0.26,-14.375,-2.04,9.71,-122.67542499999999,45.55033166666667,380.557104878,114.96425178908052
0.03,0.0033333333333333327,42.0625,-0.02,0.07,-58.6875,-0.0033333333333333327,-0.004444444444444445,-0.25,-14.0625,-2.05,9.69,-122.67542499999999,45.55033166666667,380.61647857800006,116.85418426089558
0.05,-0.004444444444444445,42.875,-0.02,0.09,-60.1875,0.0011111111111111113,0.0022222222222222227,-0.28,-14.75,-2.06,9.65,-122.67542499999999,45.55033166666667,380.68109339,118.81597948982835
0.09,0.0011111111111111113,42.0625,-0.02,0.13,-59.875,0.0011111111111111113,-0.0022222222222222227,-0.25,-15.1875,-2.04,9.67,-122.67542499999999,45.55033166666667,380.751454369,120.84522652748535
0.04,0.008888888888888889,41.25,0.0,0.08,-58.6875,-0.0011111111111111113,0.0,-0.21,-14.375,-2.05,9.73,-122.67542499999999,45.55033166666667,380.81338615,122.60071730869689
0.06,0.0,42.0625,0.01,0.07,-59.0625,-0.0011111111111111113,0.0022222222222222227,-0.26,-14.75,-2.05,9.7,-122.67542499999999,45.55033166666667,380.88412343199997,124.5029462318179
0.06,-0.0011111111111111113,42.0625,0.0,0.09,-59.0625,0.0033333333333333327,-0.0022222222222222227,-0.27,-14.375,-2.05,9.65,-122.67542499999999,45.55033166666667,380.98075992,126.9896577645232
0.06,-0.0011111111111111113,42.5,-0.02,0.12,-59.0625,0.0011111111111111113,-0.0011111111111111113,-0.25,-14.0625,-2.04,9.7,-122.67542499999999,45.55033166666667,381.055467632,128.84550391931143
0.06,-0.0022222222222222227,42.0625,0.0,0.1,-58.6875,-0.0033333333333333327,0.004444444444444445,-0.25,-15.1875,-2.05,9.7,-122.67542499999999,45.55033166666667,381.120471768,130.30592483085346
0.07,-0.006666666666666667,40.875,0.0,0.12,-58.6875,0.0011111111111111113,0.0022222222222222227,-0.26,-14.0625,-2.04,9.68,-122.67542666666668,45.55033333333334,381.314261724,134.4144408580292
0.06,-0.0022222222222222227,41.25,0.0,0.11,-59.5,-0.0011111111111111113,0.0,-0.23,-14.375,-2.01,9.7,-122.67542666666668,45.55033333333334,381.376735799,135.64575514056088
0.08,-0.0033333333333333327,42.0625,0.0,0.1,-59.875,0.0,0.0033333333333333327,-0.27,-14.75,-2.03,9.71,-122.67542666666668,45.55033333333334,381.428425357,136.6083193811154
0.03,0.0022222222222222227,42.5,-0.02,0.09,-59.0625,-0.0022222222222222227,-0.0022222222222222227,-0.24,-14.375,-2.0,9.73,-122.67542666666668,45.55033333333334,381.47367416199995,137.43764694710842
0.04,-0.006666666666666667,42.5,-0.01,0.11,-59.0625,0.004444444444444445,0.0033333333333333327,-0.28,-13.6875,-2.05,9.68,-122.67542666666668,45.55033333333334,381.548499739,138.78319471826973
0.09,-0.004444444444444445,43.25,-0.02,0.13,-59.5,0.0033333333333333327,0.0022222222222222227,-0.27,-14.375,-2.07,9.66,-122.67542666666668,45.55033333333334,381.605296294,139.72113634555296
0.08,-0.0022222222222222227,42.5,0.0,0.13,-59.5,0.0011111111111111113,-0.0011111111111111113,-0.24,-13.25,-2.06,9.7,-122.67542666666668,45.55033333333334,381.653621465,140.5475856173868
0.05,0.0022222222222222227,42.875,0.0,0.08,-59.5,-0.0011111111111111113,-0.005555555555555557,-0.24,-14.75,-2.02,9.72,-122.67542666666668,45.55033333333334,381.72014795,141.53322296308016
0.05,-0.0033333333333333327,41.25,-0.02,0.08,-59.5,-0.0033333333333333327,-0.0022222222222222227,-0.25,-14.75,-2.03,9.62,-122.67542666666668,45.55033333333334,381.77190000800005,142.25544825438877
0.08,0.004444444444444445,42.0625,-0.02,0.04,-59.0625,-0.0011111111111111113,-0.0011111111111111113,-0.26,-14.0625,-2.05,9.66,-122.67542666666668,45.55033333333334,381.83042526699995,143.0816041757838
0.06,0.0033333333333333327,41.6875,0.01,0.09,-59.0625,-0.0011111111111111113,-0.004444444444444445,-0.24,-14.75,-2.03,9.66,-122.67542666666668,45.55033333333334,381.882266335,143.74391417955843
0.06,0.0,42.0625,0.0,0.1,-59.875,-0.0011111111111111113,0.0,-0.25,-14.375,-2.01,9.68,-122.67542666666668,45.55033333333334,381.937682,144.45768255993073
0.08,0.0033333333333333327,42.5,-0.02,0.11,-60.1875,-0.0022222222222222227,-0.0022222222222222227,-0.23,-14.75,-2.02,9.71,-122.67542666666668,45.55033333333334,381.989434006,145.07858972716807
0.1,0.0011111111111111113,42.875,0.02,0.13,-59.0625,-0.0011111111111111113,0.0022222222222222227,-0.24,-14.375,-2.05,9.71,-122.67542666666668,45.55033333333334,382.04776936800005,145.7597522044192
0.07,-0.0033333333333333327,42.5,0.0,0.1,-59.0625,-0.004444444444444445,-0.004444444444444445,-0.23,-15.1875,-2.02,9.73,-122.67542666666668,45.55033333333334,382.10454837,146.34284190330777
0.05,-0.0011111111111111113,42.0625,0.0,0.15,-59.5,0.0,0.004444444444444445,-0.24,-14.75,-2.04,9.69,-122.67542666666668,45.55033333333334,382.16459577,146.95824098219984
0.07,0.0022222222222222227,42.5,0.02,0.11,-59.875,0.0011111111111111113,-0.0022222222222222227,-0.26,-14.375,-2.06,9.71,-122.67542666666668,45.55033333333334,382.216193556,147.49069318579555
0.05,0.004444444444444445,41.6875,-0.01,0.04,-59.0625,0.004444444444444445,0.0022222222222222227,-0.24,-15.5625,-2.03,9.7,-122.67542666666668,45.55033333333334,382.285298696,148.0636990968553
0.08,0.0022222222222222227,42.5,0.01,0.09,-60.1875,-0.0011111111111111113,0.0022222222222222227,-0.24,-14.375,-2.03,9.67,-122.67542666666668,45.55033333333334,382.371213999,148.86805981666683
0.07,0.004444444444444445,41.25,0.01,0.14,-59.0625,-0.0022222222222222227,0.0011111111111111113,-0.25,-14.375,-2.05,9.69,-122.67542666666668,45.55033333333334,382.422935796,149.30316405627948
0.07,0.0011111111111111113,42.875,-0.04,0.11,-58.375,-0.0011111111111111113,-0.004444444444444445,-0.28,-14.75,-2.03,9.67,-122.67542666666668,45.55033333333334,382.471294195,149.68270399951098
0.04,0.005555555555555557,42.0625,-0.01,0.09,-59.0625,0.0,0.004444444444444445,-0.25,-14.75,-2.07,9.7,-122.67542666666668,45.55033333333334,382.53329816400003,150.14100426759222
0.08,-0.0033333333333333327,42.5,0.0,0.09,-59.875,0.0,0.0022222222222222227,-0.26,-14.75,-2.08,9.7,-122.67542666666668,45.55033333333334,382.600309859,150.62462429659473
